COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
MARIA CLARET,5,2022,380982892,380982892,28705420,0,21648128,87812520,73369692,10550000,264464952,211157463,52385236,126098,796154,0,0,0,0,0,0,0,0,0,126531891,110936201,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,6,2022,390282201,390282201,29739987,0,22504865,90814741,73369743,13550000,269727473,221238786,47399168,161398,928120,0,0,0,0,0,0,0,0,0,133107792,111062086,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,7,2022,389453953,389453953,29724758,0,23524623,87335486,69870823,13550000,272393709,220146100,50920057,140009,1187541,0,0,0,0,0,0,0,0,0,134197154,111077087,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,8,2022,399709105,399709105,40167307,0,32967825,87340345,69870945,13550000,272201453,216917146,53015355,148821,2120129,0,0,0,0,0,0,0,0,0,134839583,113521587,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,9,2022,406348830,406348830,38899644,0,31048293,94015174,76522198,13550000,273434012,212917039,57968338,104628,2444006,0,0,0,0,0,0,0,0,0,141949700,122472587,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,10,2022,398756371,398756371,19770138,0,11803233,100373965,79872330,16550000,278612268,212049046,64218910,147534,2196777,0,0,0,0,0,0,0,0,0,142004426,121049586,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,11,2022,412119665,412119665,32897502,0,24654208,100364398,79872463,16550000,278857765,207660277,68968313,155312,2073860,0,0,0,0,0,0,0,0,0,143871240,122001686,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,12,2022,415003611,415003611,29169559,0,21146602,100818922,80332044,16550000,285015130,218296818,64510339,150242,2057730,0,0,0,0,0,0,0,0,0,144130689,124968186,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,1,2023,404302824,404302824,18433995,0,11451060,100812982,80332218,16550000,285055847,220170195,62724414,106827,2054409,0,0,0,0,0,0,0,0,0,139110973,125390187,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,2,2023,395174838,395174838,14990010,0,6676405,90564443,70082271,16550000,289620385,220828702,66632586,107810,2051285,0,0,0,0,0,0,0,0,0,137402075,117903186,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,3,2023,395326571,395326571,12807561,0,5432326,85746466,70082357,11730000,296772544,229808254,64814990,99666,2049632,0,0,0,0,0,0,0,0,0,137876150,107623186,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,4,2023,393726622,393726622,28365812,0,22150686,63742259,48082487,11730000,301618551,296761378,1716632,1092599,2047940,0,0,0,0,0,0,0,0,0,143934205,100064092,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,5,2023,395831823,395831823,21591113,0,14613934,40989452,25326640,11730000,333251258,328464031,1652103,1089937,2045186,0,0,0,0,0,0,0,0,0,153920687,90605194,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,6,2023,403141876,403141876,23020067,0,15986237,35992834,20326692,11730000,344128975,338232859,2779167,1090005,2026942,0,0,0,0,0,0,0,0,0,152043248,96593994,0,0,0,0,0,0,0,0,0,0,
